column_name,data_type,is_key,business_description
user_qty_sys,UUID,NONE,secondary reference index for cross-table lookup
prod_desc_norm,VARCHAR(255),NONE,categorical label for domain classification
order_dt_fk,VARCHAR(255),FOREIGN,categorical label for domain classification
cust_cat_fk,DATETIME,FOREIGN,temporal marker for transaction lifecycle
txn_code_v2,UUID,NONE,status flag indicating current operational state
supp_dt_v2,"DECIMAL(10,2)",NONE,temporal marker for transaction lifecycle
cust_stat_01,UUID,NONE,temporal marker for transaction lifecycle
cust_qty_fk,"DECIMAL(10,2)",FOREIGN,descriptive string for human-readable indexing
order_dt_pk,"DECIMAL(10,2)",PRIMARY,temporal marker for transaction lifecycle
supp_name_01,VARCHAR(255),NONE,secondary reference index for cross-table lookup
sale_code_norm,"DECIMAL(10,2)",NONE,secondary reference index for cross-table lookup
dept_dt_sys,VARCHAR(255),NONE,temporal marker for transaction lifecycle
sale_uuid_raw,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
addr_amt_v2,VARCHAR(255),NONE,status flag indicating current operational state
addr_dt_raw,UUID,NONE,temporal marker for transaction lifecycle
sale_dt_norm,UUID,NONE,temporal marker for transaction lifecycle
order_name_v2,UUID,NONE,temporal marker for transaction lifecycle
order_name_norm,INTEGER,NONE,categorical label for domain classification
order_stat_v2,VARCHAR(255),NONE,descriptive string for human-readable indexing
user_name_raw,INTEGER,NONE,foreign key mapping to parent entity relational graph
inv_amt_pk,DATETIME,PRIMARY,descriptive string for human-readable indexing
emp_desc_norm,UUID,NONE,unique identifier for the primary record
addr_dt_fk,DATETIME,FOREIGN,descriptive string for human-readable indexing
addr_amt_pk,"DECIMAL(10,2)",PRIMARY,temporal marker for transaction lifecycle
addr_cat_norm,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
dept_id_fk,DATETIME,FOREIGN,unique identifier for the primary record
addr_cat_fk,DATETIME,FOREIGN,status flag indicating current operational state
inv_ref_pk,DATETIME,PRIMARY,categorical label for domain classification
prod_ref_norm,DATETIME,NONE,secondary reference index for cross-table lookup
order_id_pk,DATETIME,PRIMARY,foreign key mapping to parent entity relational graph
order_name_raw,"DECIMAL(10,2)",NONE,secondary reference index for cross-table lookup
emp_amt_raw,"DECIMAL(10,2)",NONE,categorical label for domain classification
cust_id_sys,"DECIMAL(10,2)",NONE,temporal marker for transaction lifecycle
inv_qty_fk,DATETIME,FOREIGN,categorical label for domain classification
dept_dt_fk,INTEGER,FOREIGN,temporal marker for transaction lifecycle
prod_desc_v2,INTEGER,NONE,temporal marker for transaction lifecycle
addr_stat_pk,UUID,PRIMARY,temporal marker for transaction lifecycle
prod_cat_pk,"DECIMAL(10,2)",PRIMARY,descriptive string for human-readable indexing
addr_ref_01,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
order_desc_v2,DATETIME,NONE,normalized quantitative value for aggregate reporting
addr_amt_raw,DATETIME,NONE,categorical label for domain classification
user_uuid_norm,INTEGER,NONE,descriptive string for human-readable indexing
sale_ref_sys,UUID,NONE,secondary reference index for cross-table lookup
supp_id_01,INTEGER,NONE,temporal marker for transaction lifecycle
addr_code_pk,VARCHAR(255),PRIMARY,normalized quantitative value for aggregate reporting
inv_cat_sys,UUID,NONE,secondary reference index for cross-table lookup
addr_desc_01,DATETIME,NONE,status flag indicating current operational state
addr_ref_01,DATETIME,NONE,secondary reference index for cross-table lookup
dept_code_raw,"DECIMAL(10,2)",NONE,secondary reference index for cross-table lookup
addr_amt_01,INTEGER,NONE,foreign key mapping to parent entity relational graph
dept_code_sys,"DECIMAL(10,2)",NONE,secondary reference index for cross-table lookup
prod_amt_fk,UUID,FOREIGN,categorical label for domain classification
emp_qty_fk,INTEGER,FOREIGN,status flag indicating current operational state
supp_desc_v2,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
sale_amt_fk,DATETIME,FOREIGN,secondary reference index for cross-table lookup
order_name_fk,UUID,FOREIGN,foreign key mapping to parent entity relational graph
supp_qty_norm,DATETIME,NONE,status flag indicating current operational state
addr_id_sys,DATETIME,NONE,status flag indicating current operational state
order_uuid_raw,UUID,NONE,temporal marker for transaction lifecycle
supp_dt_raw,"DECIMAL(10,2)",NONE,temporal marker for transaction lifecycle
txn_desc_raw,UUID,NONE,descriptive string for human-readable indexing
emp_dt_v2,UUID,NONE,temporal marker for transaction lifecycle
sale_name_raw,INTEGER,NONE,status flag indicating current operational state
emp_dt_norm,DATETIME,NONE,unique identifier for the primary record
cust_ref_norm,DATETIME,NONE,categorical label for domain classification
cust_cat_01,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
inv_cat_pk,VARCHAR(255),PRIMARY,secondary reference index for cross-table lookup
emp_code_v2,DATETIME,NONE,foreign key mapping to parent entity relational graph
txn_uuid_norm,UUID,NONE,categorical label for domain classification
dept_ref_01,DATETIME,NONE,categorical label for domain classification
prod_amt_raw,"DECIMAL(10,2)",NONE,status flag indicating current operational state
cust_dt_fk,DATETIME,FOREIGN,unique identifier for the primary record
emp_dt_norm,INTEGER,NONE,descriptive string for human-readable indexing
cust_dt_v2,VARCHAR(255),NONE,foreign key mapping to parent entity relational graph
supp_qty_fk,UUID,FOREIGN,descriptive string for human-readable indexing
addr_amt_v2,"DECIMAL(10,2)",NONE,temporal marker for transaction lifecycle
cust_amt_v2,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
emp_cat_v2,INTEGER,NONE,temporal marker for transaction lifecycle
inv_qty_fk,UUID,FOREIGN,categorical label for domain classification
dept_code_fk,"DECIMAL(10,2)",FOREIGN,categorical label for domain classification
cust_amt_sys,UUID,NONE,unique identifier for the primary record
prod_dt_raw,"DECIMAL(10,2)",NONE,categorical label for domain classification
emp_stat_pk,VARCHAR(255),PRIMARY,foreign key mapping to parent entity relational graph
cust_uuid_sys,DATETIME,NONE,normalized quantitative value for aggregate reporting
emp_ref_norm,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
dept_id_01,DATETIME,NONE,unique identifier for the primary record
supp_qty_sys,UUID,NONE,unique identifier for the primary record
order_qty_01,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
prod_ref_raw,"DECIMAL(10,2)",NONE,temporal marker for transaction lifecycle
user_id_01,VARCHAR(255),NONE,status flag indicating current operational state
inv_id_pk,UUID,PRIMARY,descriptive string for human-readable indexing
txn_cat_norm,"DECIMAL(10,2)",NONE,normalized quantitative value for aggregate reporting
emp_ref_norm,DATETIME,NONE,descriptive string for human-readable indexing
addr_uuid_01,DATETIME,NONE,status flag indicating current operational state
user_cat_pk,INTEGER,PRIMARY,categorical label for domain classification
txn_code_01,VARCHAR(255),NONE,unique identifier for the primary record
txn_stat_v2,UUID,NONE,foreign key mapping to parent entity relational graph
user_stat_pk,INTEGER,PRIMARY,unique identifier for the primary record
user_dt_01,UUID,NONE,foreign key mapping to parent entity relational graph
prod_amt_v2,INTEGER,NONE,normalized quantitative value for aggregate reporting
inv_id_sys,VARCHAR(255),NONE,unique identifier for the primary record
dept_cat_fk,"DECIMAL(10,2)",FOREIGN,secondary reference index for cross-table lookup
user_uuid_norm,VARCHAR(255),NONE,secondary reference index for cross-table lookup
emp_amt_fk,VARCHAR(255),FOREIGN,unique identifier for the primary record
emp_name_sys,UUID,NONE,foreign key mapping to parent entity relational graph
user_qty_norm,INTEGER,NONE,descriptive string for human-readable indexing
supp_dt_v2,"DECIMAL(10,2)",NONE,normalized quantitative value for aggregate reporting
supp_id_norm,DATETIME,NONE,descriptive string for human-readable indexing
supp_id_sys,INTEGER,NONE,status flag indicating current operational state
addr_uuid_raw,"DECIMAL(10,2)",NONE,normalized quantitative value for aggregate reporting
emp_qty_raw,INTEGER,NONE,unique identifier for the primary record
sale_ref_sys,DATETIME,NONE,unique identifier for the primary record
dept_ref_raw,INTEGER,NONE,normalized quantitative value for aggregate reporting
emp_code_fk,INTEGER,FOREIGN,status flag indicating current operational state
prod_code_sys,DATETIME,NONE,categorical label for domain classification
txn_ref_raw,UUID,NONE,descriptive string for human-readable indexing
inv_qty_v2,"DECIMAL(10,2)",NONE,unique identifier for the primary record
emp_desc_01,"DECIMAL(10,2)",NONE,categorical label for domain classification
inv_ref_01,UUID,NONE,status flag indicating current operational state
prod_ref_pk,DATETIME,PRIMARY,status flag indicating current operational state
sale_cat_raw,DATETIME,NONE,foreign key mapping to parent entity relational graph
user_qty_v2,UUID,NONE,status flag indicating current operational state
sale_uuid_pk,"DECIMAL(10,2)",PRIMARY,temporal marker for transaction lifecycle
inv_uuid_01,VARCHAR(255),NONE,descriptive string for human-readable indexing
txn_amt_raw,UUID,NONE,secondary reference index for cross-table lookup
addr_stat_fk,VARCHAR(255),FOREIGN,secondary reference index for cross-table lookup
supp_stat_01,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
addr_amt_01,DATETIME,NONE,temporal marker for transaction lifecycle
supp_desc_01,DATETIME,NONE,temporal marker for transaction lifecycle
sale_uuid_fk,"DECIMAL(10,2)",FOREIGN,secondary reference index for cross-table lookup
user_desc_raw,UUID,NONE,temporal marker for transaction lifecycle
supp_amt_sys,INTEGER,NONE,foreign key mapping to parent entity relational graph
addr_name_fk,VARCHAR(255),FOREIGN,temporal marker for transaction lifecycle
addr_desc_pk,"DECIMAL(10,2)",PRIMARY,temporal marker for transaction lifecycle
order_ref_sys,"DECIMAL(10,2)",NONE,secondary reference index for cross-table lookup
supp_stat_norm,DATETIME,NONE,normalized quantitative value for aggregate reporting
supp_stat_pk,DATETIME,PRIMARY,unique identifier for the primary record
txn_dt_sys,DATETIME,NONE,unique identifier for the primary record
prod_code_raw,UUID,NONE,secondary reference index for cross-table lookup
user_id_raw,VARCHAR(255),NONE,unique identifier for the primary record
sale_qty_raw,VARCHAR(255),NONE,secondary reference index for cross-table lookup
sale_ref_norm,DATETIME,NONE,unique identifier for the primary record
dept_id_norm,DATETIME,NONE,temporal marker for transaction lifecycle
emp_qty_norm,INTEGER,NONE,status flag indicating current operational state
sale_uuid_fk,INTEGER,FOREIGN,temporal marker for transaction lifecycle
order_desc_01,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
prod_ref_pk,VARCHAR(255),PRIMARY,normalized quantitative value for aggregate reporting
emp_amt_raw,INTEGER,NONE,descriptive string for human-readable indexing
addr_desc_01,INTEGER,NONE,unique identifier for the primary record
dept_desc_norm,INTEGER,NONE,secondary reference index for cross-table lookup
emp_uuid_norm,UUID,NONE,temporal marker for transaction lifecycle
prod_amt_norm,DATETIME,NONE,normalized quantitative value for aggregate reporting
user_qty_norm,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
sale_qty_raw,DATETIME,NONE,temporal marker for transaction lifecycle
txn_code_norm,UUID,NONE,secondary reference index for cross-table lookup
dept_id_norm,INTEGER,NONE,normalized quantitative value for aggregate reporting
inv_ref_norm,VARCHAR(255),NONE,categorical label for domain classification
prod_ref_01,VARCHAR(255),NONE,unique identifier for the primary record
emp_ref_raw,UUID,NONE,secondary reference index for cross-table lookup
inv_qty_pk,UUID,PRIMARY,normalized quantitative value for aggregate reporting
prod_dt_fk,UUID,FOREIGN,status flag indicating current operational state
user_ref_sys,INTEGER,NONE,status flag indicating current operational state
addr_name_pk,VARCHAR(255),PRIMARY,descriptive string for human-readable indexing
inv_ref_norm,UUID,NONE,temporal marker for transaction lifecycle
emp_stat_raw,UUID,NONE,unique identifier for the primary record
dept_cat_fk,DATETIME,FOREIGN,status flag indicating current operational state
order_desc_pk,UUID,PRIMARY,temporal marker for transaction lifecycle
prod_ref_raw,DATETIME,NONE,secondary reference index for cross-table lookup
addr_cat_sys,DATETIME,NONE,temporal marker for transaction lifecycle
inv_stat_01,INTEGER,NONE,temporal marker for transaction lifecycle
inv_name_pk,VARCHAR(255),PRIMARY,descriptive string for human-readable indexing
cust_id_fk,VARCHAR(255),FOREIGN,foreign key mapping to parent entity relational graph
dept_desc_v2,UUID,NONE,unique identifier for the primary record
dept_name_raw,DATETIME,NONE,temporal marker for transaction lifecycle
txn_amt_sys,DATETIME,NONE,status flag indicating current operational state
supp_id_fk,"DECIMAL(10,2)",FOREIGN,categorical label for domain classification
dept_stat_01,"DECIMAL(10,2)",NONE,unique identifier for the primary record
sale_code_raw,UUID,NONE,descriptive string for human-readable indexing
supp_ref_fk,DATETIME,FOREIGN,status flag indicating current operational state
order_cat_sys,DATETIME,NONE,unique identifier for the primary record
dept_stat_v2,INTEGER,NONE,normalized quantitative value for aggregate reporting
dept_amt_fk,DATETIME,FOREIGN,secondary reference index for cross-table lookup
txn_ref_pk,UUID,PRIMARY,status flag indicating current operational state
addr_stat_01,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
user_desc_sys,UUID,NONE,secondary reference index for cross-table lookup
txn_amt_pk,INTEGER,PRIMARY,foreign key mapping to parent entity relational graph
supp_name_pk,"DECIMAL(10,2)",PRIMARY,temporal marker for transaction lifecycle
cust_qty_fk,"DECIMAL(10,2)",FOREIGN,temporal marker for transaction lifecycle
supp_desc_01,INTEGER,NONE,normalized quantitative value for aggregate reporting
user_cat_raw,DATETIME,NONE,secondary reference index for cross-table lookup
addr_uuid_01,DATETIME,NONE,secondary reference index for cross-table lookup
user_name_fk,UUID,FOREIGN,normalized quantitative value for aggregate reporting
addr_id_norm,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
emp_stat_01,"DECIMAL(10,2)",NONE,status flag indicating current operational state
prod_ref_raw,UUID,NONE,unique identifier for the primary record
txn_name_pk,UUID,PRIMARY,normalized quantitative value for aggregate reporting
supp_qty_sys,UUID,NONE,categorical label for domain classification
user_code_sys,DATETIME,NONE,status flag indicating current operational state
supp_id_pk,"DECIMAL(10,2)",PRIMARY,descriptive string for human-readable indexing
user_cat_fk,UUID,FOREIGN,secondary reference index for cross-table lookup
addr_stat_sys,UUID,NONE,categorical label for domain classification
txn_amt_v2,"DECIMAL(10,2)",NONE,status flag indicating current operational state
order_qty_01,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
user_id_raw,UUID,NONE,foreign key mapping to parent entity relational graph
addr_amt_raw,DATETIME,NONE,status flag indicating current operational state
cust_ref_pk,INTEGER,PRIMARY,categorical label for domain classification
txn_code_sys,VARCHAR(255),NONE,descriptive string for human-readable indexing
sale_amt_01,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
cust_dt_norm,DATETIME,NONE,unique identifier for the primary record
addr_dt_raw,INTEGER,NONE,foreign key mapping to parent entity relational graph
supp_ref_raw,VARCHAR(255),NONE,status flag indicating current operational state
emp_uuid_sys,"DECIMAL(10,2)",NONE,temporal marker for transaction lifecycle
supp_code_sys,DATETIME,NONE,temporal marker for transaction lifecycle
supp_uuid_fk,VARCHAR(255),FOREIGN,categorical label for domain classification
txn_qty_raw,DATETIME,NONE,foreign key mapping to parent entity relational graph
dept_uuid_norm,INTEGER,NONE,temporal marker for transaction lifecycle
sale_cat_pk,DATETIME,PRIMARY,unique identifier for the primary record
user_id_pk,"DECIMAL(10,2)",PRIMARY,secondary reference index for cross-table lookup
inv_uuid_raw,"DECIMAL(10,2)",NONE,secondary reference index for cross-table lookup
txn_id_pk,UUID,PRIMARY,normalized quantitative value for aggregate reporting
supp_dt_01,INTEGER,NONE,normalized quantitative value for aggregate reporting
emp_stat_pk,VARCHAR(255),PRIMARY,foreign key mapping to parent entity relational graph
order_name_norm,UUID,NONE,foreign key mapping to parent entity relational graph
user_uuid_v2,DATETIME,NONE,secondary reference index for cross-table lookup
order_desc_fk,DATETIME,FOREIGN,foreign key mapping to parent entity relational graph
cust_name_01,"DECIMAL(10,2)",NONE,categorical label for domain classification
inv_qty_pk,UUID,PRIMARY,normalized quantitative value for aggregate reporting
order_uuid_v2,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
inv_code_raw,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
addr_dt_fk,"DECIMAL(10,2)",FOREIGN,unique identifier for the primary record
cust_cat_raw,UUID,NONE,normalized quantitative value for aggregate reporting
supp_stat_pk,DATETIME,PRIMARY,descriptive string for human-readable indexing
cust_ref_norm,INTEGER,NONE,status flag indicating current operational state
txn_ref_sys,DATETIME,NONE,foreign key mapping to parent entity relational graph
supp_stat_norm,DATETIME,NONE,foreign key mapping to parent entity relational graph
dept_cat_sys,VARCHAR(255),NONE,secondary reference index for cross-table lookup
supp_id_raw,INTEGER,NONE,descriptive string for human-readable indexing
prod_cat_sys,UUID,NONE,foreign key mapping to parent entity relational graph
emp_qty_01,VARCHAR(255),NONE,unique identifier for the primary record
prod_stat_fk,VARCHAR(255),FOREIGN,normalized quantitative value for aggregate reporting
cust_name_fk,"DECIMAL(10,2)",FOREIGN,temporal marker for transaction lifecycle
supp_name_01,DATETIME,NONE,foreign key mapping to parent entity relational graph
txn_desc_norm,UUID,NONE,status flag indicating current operational state
dept_desc_pk,UUID,PRIMARY,unique identifier for the primary record
txn_dt_pk,INTEGER,PRIMARY,unique identifier for the primary record
sale_ref_v2,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
addr_amt_norm,DATETIME,NONE,descriptive string for human-readable indexing
user_ref_01,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
inv_code_raw,DATETIME,NONE,unique identifier for the primary record
cust_dt_sys,UUID,NONE,categorical label for domain classification
sale_uuid_v2,DATETIME,NONE,categorical label for domain classification
sale_qty_raw,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
dept_id_fk,"DECIMAL(10,2)",FOREIGN,unique identifier for the primary record
supp_code_v2,"DECIMAL(10,2)",NONE,categorical label for domain classification
order_ref_pk,VARCHAR(255),PRIMARY,categorical label for domain classification
sale_name_01,INTEGER,NONE,status flag indicating current operational state
dept_desc_01,VARCHAR(255),NONE,descriptive string for human-readable indexing
supp_stat_norm,DATETIME,NONE,normalized quantitative value for aggregate reporting
emp_cat_norm,"DECIMAL(10,2)",NONE,categorical label for domain classification
sale_desc_fk,"DECIMAL(10,2)",FOREIGN,secondary reference index for cross-table lookup
inv_uuid_01,DATETIME,NONE,descriptive string for human-readable indexing
prod_uuid_norm,DATETIME,NONE,secondary reference index for cross-table lookup
supp_code_sys,UUID,NONE,categorical label for domain classification
user_code_01,UUID,NONE,descriptive string for human-readable indexing
emp_uuid_raw,UUID,NONE,status flag indicating current operational state
prod_dt_pk,DATETIME,PRIMARY,descriptive string for human-readable indexing
addr_stat_fk,VARCHAR(255),FOREIGN,status flag indicating current operational state
inv_ref_pk,"DECIMAL(10,2)",PRIMARY,descriptive string for human-readable indexing
user_qty_raw,INTEGER,NONE,temporal marker for transaction lifecycle
user_ref_sys,UUID,NONE,descriptive string for human-readable indexing
addr_id_v2,INTEGER,NONE,unique identifier for the primary record
sale_qty_fk,"DECIMAL(10,2)",FOREIGN,descriptive string for human-readable indexing
prod_desc_fk,"DECIMAL(10,2)",FOREIGN,foreign key mapping to parent entity relational graph
cust_dt_fk,UUID,FOREIGN,unique identifier for the primary record
supp_ref_sys,"DECIMAL(10,2)",NONE,secondary reference index for cross-table lookup
addr_stat_v2,"DECIMAL(10,2)",NONE,temporal marker for transaction lifecycle
inv_amt_fk,VARCHAR(255),FOREIGN,secondary reference index for cross-table lookup
txn_desc_norm,"DECIMAL(10,2)",NONE,unique identifier for the primary record
prod_name_fk,INTEGER,FOREIGN,status flag indicating current operational state
order_ref_pk,DATETIME,PRIMARY,foreign key mapping to parent entity relational graph
emp_desc_v2,DATETIME,NONE,secondary reference index for cross-table lookup
order_code_01,VARCHAR(255),NONE,temporal marker for transaction lifecycle
emp_id_v2,"DECIMAL(10,2)",NONE,secondary reference index for cross-table lookup
txn_cat_norm,UUID,NONE,status flag indicating current operational state
supp_ref_pk,UUID,PRIMARY,secondary reference index for cross-table lookup
prod_name_fk,VARCHAR(255),FOREIGN,unique identifier for the primary record
dept_cat_sys,"DECIMAL(10,2)",NONE,status flag indicating current operational state
dept_desc_01,DATETIME,NONE,secondary reference index for cross-table lookup
cust_id_pk,UUID,PRIMARY,unique identifier for the primary record
user_uuid_fk,INTEGER,FOREIGN,unique identifier for the primary record
user_code_raw,DATETIME,NONE,descriptive string for human-readable indexing
addr_cat_01,VARCHAR(255),NONE,temporal marker for transaction lifecycle
order_amt_sys,DATETIME,NONE,unique identifier for the primary record
user_cat_v2,"DECIMAL(10,2)",NONE,normalized quantitative value for aggregate reporting
dept_qty_01,INTEGER,NONE,temporal marker for transaction lifecycle
supp_code_01,"DECIMAL(10,2)",NONE,temporal marker for transaction lifecycle
user_stat_01,UUID,NONE,categorical label for domain classification
supp_name_v2,DATETIME,NONE,unique identifier for the primary record
prod_desc_v2,VARCHAR(255),NONE,temporal marker for transaction lifecycle
supp_qty_pk,DATETIME,PRIMARY,unique identifier for the primary record
inv_amt_01,VARCHAR(255),NONE,secondary reference index for cross-table lookup
sale_code_sys,UUID,NONE,unique identifier for the primary record
txn_name_fk,UUID,FOREIGN,categorical label for domain classification
sale_desc_raw,VARCHAR(255),NONE,unique identifier for the primary record
prod_code_fk,INTEGER,FOREIGN,temporal marker for transaction lifecycle
dept_stat_norm,DATETIME,NONE,categorical label for domain classification
addr_uuid_01,DATETIME,NONE,unique identifier for the primary record
supp_ref_01,INTEGER,NONE,unique identifier for the primary record
dept_stat_v2,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
emp_code_v2,"DECIMAL(10,2)",NONE,categorical label for domain classification
addr_uuid_norm,INTEGER,NONE,categorical label for domain classification
prod_code_raw,"DECIMAL(10,2)",NONE,secondary reference index for cross-table lookup
user_dt_v2,VARCHAR(255),NONE,secondary reference index for cross-table lookup
supp_id_01,INTEGER,NONE,descriptive string for human-readable indexing
dept_id_sys,UUID,NONE,categorical label for domain classification
dept_code_01,"DECIMAL(10,2)",NONE,temporal marker for transaction lifecycle
inv_name_pk,INTEGER,PRIMARY,categorical label for domain classification
cust_desc_norm,VARCHAR(255),NONE,categorical label for domain classification
dept_stat_sys,VARCHAR(255),NONE,temporal marker for transaction lifecycle
user_name_fk,INTEGER,FOREIGN,descriptive string for human-readable indexing
dept_amt_norm,VARCHAR(255),NONE,secondary reference index for cross-table lookup
prod_amt_fk,DATETIME,FOREIGN,secondary reference index for cross-table lookup
order_uuid_v2,INTEGER,NONE,unique identifier for the primary record
order_cat_v2,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
inv_desc_norm,INTEGER,NONE,status flag indicating current operational state
inv_stat_01,UUID,NONE,normalized quantitative value for aggregate reporting
inv_dt_v2,DATETIME,NONE,categorical label for domain classification
emp_name_norm,INTEGER,NONE,normalized quantitative value for aggregate reporting
supp_cat_v2,DATETIME,NONE,secondary reference index for cross-table lookup
emp_desc_01,"DECIMAL(10,2)",NONE,categorical label for domain classification
sale_stat_01,"DECIMAL(10,2)",NONE,secondary reference index for cross-table lookup
prod_name_norm,UUID,NONE,normalized quantitative value for aggregate reporting
addr_cat_norm,"DECIMAL(10,2)",NONE,categorical label for domain classification
addr_stat_pk,VARCHAR(255),PRIMARY,status flag indicating current operational state
dept_uuid_pk,DATETIME,PRIMARY,secondary reference index for cross-table lookup
prod_desc_fk,UUID,FOREIGN,unique identifier for the primary record
sale_ref_01,"DECIMAL(10,2)",NONE,temporal marker for transaction lifecycle
sale_id_raw,VARCHAR(255),NONE,temporal marker for transaction lifecycle
dept_dt_fk,VARCHAR(255),FOREIGN,status flag indicating current operational state
cust_uuid_v2,UUID,NONE,status flag indicating current operational state
prod_code_v2,VARCHAR(255),NONE,status flag indicating current operational state
prod_name_raw,VARCHAR(255),NONE,categorical label for domain classification
prod_amt_pk,VARCHAR(255),PRIMARY,status flag indicating current operational state
sale_dt_01,DATETIME,NONE,status flag indicating current operational state
user_uuid_01,VARCHAR(255),NONE,secondary reference index for cross-table lookup
dept_qty_norm,DATETIME,NONE,unique identifier for the primary record
dept_stat_sys,DATETIME,NONE,secondary reference index for cross-table lookup
cust_amt_v2,VARCHAR(255),NONE,temporal marker for transaction lifecycle
emp_qty_norm,"DECIMAL(10,2)",NONE,normalized quantitative value for aggregate reporting
prod_ref_raw,UUID,NONE,status flag indicating current operational state
dept_amt_01,DATETIME,NONE,foreign key mapping to parent entity relational graph
dept_uuid_pk,DATETIME,PRIMARY,foreign key mapping to parent entity relational graph
dept_ref_sys,UUID,NONE,descriptive string for human-readable indexing
prod_stat_norm,INTEGER,NONE,normalized quantitative value for aggregate reporting
txn_uuid_01,UUID,NONE,status flag indicating current operational state
addr_stat_01,UUID,NONE,status flag indicating current operational state
supp_name_fk,INTEGER,FOREIGN,status flag indicating current operational state
user_desc_v2,UUID,NONE,descriptive string for human-readable indexing
user_uuid_01,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
txn_name_sys,DATETIME,NONE,unique identifier for the primary record
order_qty_v2,DATETIME,NONE,normalized quantitative value for aggregate reporting
dept_ref_v2,VARCHAR(255),NONE,foreign key mapping to parent entity relational graph
prod_id_pk,"DECIMAL(10,2)",PRIMARY,descriptive string for human-readable indexing
order_cat_norm,DATETIME,NONE,normalized quantitative value for aggregate reporting
cust_uuid_fk,"DECIMAL(10,2)",FOREIGN,foreign key mapping to parent entity relational graph
emp_dt_01,INTEGER,NONE,foreign key mapping to parent entity relational graph
inv_stat_01,DATETIME,NONE,foreign key mapping to parent entity relational graph
supp_ref_pk,UUID,PRIMARY,temporal marker for transaction lifecycle
cust_id_01,"DECIMAL(10,2)",NONE,normalized quantitative value for aggregate reporting
prod_amt_fk,"DECIMAL(10,2)",FOREIGN,categorical label for domain classification
txn_name_sys,INTEGER,NONE,foreign key mapping to parent entity relational graph
dept_uuid_pk,UUID,PRIMARY,normalized quantitative value for aggregate reporting
txn_uuid_v2,"DECIMAL(10,2)",NONE,normalized quantitative value for aggregate reporting
addr_amt_raw,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
emp_code_01,DATETIME,NONE,temporal marker for transaction lifecycle
cust_name_pk,"DECIMAL(10,2)",PRIMARY,temporal marker for transaction lifecycle
user_dt_sys,UUID,NONE,foreign key mapping to parent entity relational graph
sale_id_norm,"DECIMAL(10,2)",NONE,status flag indicating current operational state
txn_stat_v2,INTEGER,NONE,foreign key mapping to parent entity relational graph
order_amt_pk,DATETIME,PRIMARY,temporal marker for transaction lifecycle
emp_stat_norm,VARCHAR(255),NONE,foreign key mapping to parent entity relational graph
supp_dt_v2,UUID,NONE,temporal marker for transaction lifecycle
prod_ref_v2,DATETIME,NONE,unique identifier for the primary record
txn_qty_v2,DATETIME,NONE,descriptive string for human-readable indexing
addr_id_fk,INTEGER,FOREIGN,foreign key mapping to parent entity relational graph
dept_amt_v2,DATETIME,NONE,unique identifier for the primary record
sale_cat_fk,"DECIMAL(10,2)",FOREIGN,foreign key mapping to parent entity relational graph
prod_id_fk,"DECIMAL(10,2)",FOREIGN,descriptive string for human-readable indexing
user_qty_01,INTEGER,NONE,normalized quantitative value for aggregate reporting
supp_stat_raw,VARCHAR(255),NONE,unique identifier for the primary record
dept_amt_sys,VARCHAR(255),NONE,temporal marker for transaction lifecycle
inv_dt_raw,INTEGER,NONE,categorical label for domain classification
user_cat_raw,VARCHAR(255),NONE,categorical label for domain classification
user_id_01,INTEGER,NONE,categorical label for domain classification
txn_id_raw,DATETIME,NONE,unique identifier for the primary record
prod_id_01,DATETIME,NONE,descriptive string for human-readable indexing
addr_desc_01,INTEGER,NONE,status flag indicating current operational state
dept_amt_raw,UUID,NONE,normalized quantitative value for aggregate reporting
order_dt_v2,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
order_qty_raw,VARCHAR(255),NONE,categorical label for domain classification
sale_amt_norm,UUID,NONE,status flag indicating current operational state
inv_cat_01,UUID,NONE,status flag indicating current operational state
supp_dt_sys,DATETIME,NONE,categorical label for domain classification
